Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2018-07-23;2,6999;2,7262;2,6774;2,6849;;
2018-07-20;2,7685;2,7685;2,7179;2,7256;;
2018-07-19;2,7178;2,7713;2,6591;2,7385;;
2018-07-18;2,7444;2,7457;2,6796;2,7053;;
2018-07-17;2,7783;2,7783;2,6974;2,7295;;
2018-07-16;2,7545;2,7729;2,7113;2,7518;;
2018-07-13;2,7898;2,8182;2,7244;2,7541;;
2018-07-12;2,8245;2,8245;2,7588;2,7909;;
2018-07-11;2,7859;2,842;2,7433;2,8258;;
2018-07-10;2,8088;2,8243;2,7639;2,7745;;
2018-07-09;2,8568;2,858;2,7842;2,8249;;
2018-07-06;2,8442;2,8595;2,7864;2,8536;;
2018-07-05;2,8249;2,8606;2,7988;2,8249;;
2018-07-04;2,8591;2,8812;2,7971;2,8545;;
2018-07-03;2,8536;2,8799;2,823;2,8642;;
2018-07-02;2,896;2,9132;2,828;2,8538;;
2018-06-29;2,9278;2,9331;2,8699;2,9173;;
2018-06-28;2,9663;3,0145;2,9097;2,9492;;
2018-06-27;2,9497;2,9922;2,9283;2,9763;;
2018-06-26;2,9272;2,944;2,8658;2,9348;;
2018-06-25;2,8975;2,9431;2,8656;2,9159;;
2018-06-22;2,9794;2,9877;2,8934;2,9396;;
2018-06-21;2,9764;2,9995;2,9253;2,9994;;
2018-06-20;2,9289;2,9831;2,8858;2,9722;;
2018-06-19;2,9373;2,9533;2,8673;2,9173;;
2018-06-18;3,0321;3,0499;2,9276;2,9695;;
2018-06-15;2,9796;3,044;2,9462;3,0396;;
2018-06-14;2,9469;2,9879;2,8935;2,9691;;
2018-06-13;2,9233;2,9856;2,8777;2,9553;;
2018-06-12;2,9639;2,9795;2,8841;2,9325;;
2018-06-11;2,9326;2,9548;2,9036;2,9493;;
2018-06-08;2,9059;2,9201;2,8533;2,9105;;
2018-06-07;2,91;2,9715;2,8835;2,9331;;
2018-06-06;2,9054;2,9134;2,8623;2,8997;;
2018-06-05;2,9135;2,9214;2,863;2,8888;;
2018-06-04;2,9617;2,9812;2,9166;2,9299;;
2018-06-01;2,9508;2,9962;2,9224;2,9743;;
2018-05-31;2,8914;2,9818;2,8752;2,9577;;
2018-05-30;2,8854;2,9092;2,8611;2,8964;;
2018-05-29;2,9733;2,9847;2,8558;2,9016;;
2018-05-28;2,9429;2,9966;2,9237;2,9664;;
2018-05-25;2,9571;2,9834;2,9367;2,961;;
2018-05-24;2,9603;2,991;2,928;2,9675;;
2018-05-23;2,8987;2,9746;2,8842;2,9715;;
2018-05-22;2,8105;2,9227;2,7931;2,9071;;
2018-05-18;2,8388;2,869;2,8204;2,8546;;
2018-05-17;2,819;2,8589;2,7709;2,8546;;
2018-05-16;2,8159;2,834;2,7802;2,8033;;
2018-05-15;2,8324;2,8575;2,8107;2,8575;;
2018-05-14;2,8063;2,8532;2,7884;2,8532;;
2018-05-11;2,806;2,8245;2,7792;2,8152;;
2018-05-10;2,7121;2,8254;2,696;2,8141;;
2018-05-09;2,7381;2,7522;2,7139;2,7416;;
2018-05-08;2,7321;2,7614;2,697;2,733;;
2018-05-07;2,7179;2,7676;2,6812;2,7362;;
2018-05-04;2,7329;2,7406;2,6894;2,7042;;
2018-05-03;2,7525;2,7632;2,6862;2,7203;;
2018-05-02;2,7901;2,8083;2,7286;2,76;;
2018-04-30;2,761;2,7765;2,7135;2,752;;
2018-04-27;2,8131;2,8294;2,7533;2,7726;;
2018-04-26;2,8021;2,842;2,7875;2,8326;;
2018-04-25;2,7991;2,8185;2,773;2,8014;;
2018-04-24;2,7514;2,8423;2,7416;2,809;;
2018-04-23;2,7502;2,7691;2,7195;2,7625;;
2018-04-20;2,6851;2,7608;2,6686;2,7426;;
2018-04-19;2,748;2,7642;2,6535;2,6642;;
2018-04-18;2,7296;2,7975;2,7176;2,7486;;
2018-04-17;2,7175;2,7715;2,7022;2,7377;;
2018-04-16;2,7397;2,7853;2,7208;2,7573;;
2018-04-13;2,6903;2,7608;2,6661;2,7321;;
2018-04-12;2,6513;2,7035;2,6387;2,6847;;
2018-04-11;2,6654;2,6959;2,6256;2,6642;;
2018-04-10;2,6981;2,727;2,6352;2,6654;;
2018-04-09;2,6785;2,7158;2,6478;2,7042;;
2018-04-06;2,6875;2,7381;2,67;2,7137;;
2018-04-05;2,6773;2,7249;2,6562;2,6927;;
2018-04-04;2,6991;2,7643;2,6817;2,7065;;
2018-04-03;2,6759;2,7261;2,662;2,7163;;
2018-03-29;2,7495;2,7772;2,7215;2,7351;;
2018-03-28;2,7033;2,749;2,6823;2,7136;;
2018-03-27;2,683;2,7406;2,6687;2,6928;;
2018-03-26;2,6353;2,6986;2,6082;2,6552;;
2018-03-23;2,6576;2,683;2,6167;2,6304;;
2018-03-22;2,6454;2,7107;2,5883;2,5883;;
2018-03-21;2,6838;2,7438;2,6288;2,6384;;
2018-03-20;2,6645;2,7409;2,6406;2,6804;;
2018-03-19;2,6884;2,7496;2,6565;2,6892;;
2018-03-16;2,682;2,7485;2,6635;2,7177;;
2018-03-15;2,7363;2,7842;2,6781;2,6955;;
2018-03-14;2,7699;2,791;2,708;2,7442;;
2018-03-13;2,7864;2,842;2,7759;2,8123;;
2018-03-12;2,7261;2,8377;2,72;2,791;;
2018-03-09;2,7296;2,7871;2,7041;2,7466;;
2018-03-08;2,7767;2,8384;2,7445;2,7659;;
2018-03-07;2,7595;2,8231;2,7424;2,8148;;
2018-03-06;2,7148;2,7978;2,6934;2,7531;;
2018-03-05;2,6775;2,7572;2,6735;2,7182;;
2018-03-02;2,6843;2,753;2,6731;2,7241;;
2018-03-01;2,6533;2,7411;2,6424;2,6869;;
2018-02-28;2,6693;2,7233;2,6511;2,6854;;
2018-02-27;2,6728;2,7229;2,6556;2,6934;;
2018-02-26;2,6914;2,7479;2,6627;2,6801;;
2018-02-23;2,6442;2,693;2,6172;2,6705;;
2018-02-22;2,6509;2,7128;2,6294;2,6809;;
2018-02-21;2,6246;2,7073;2,5983;2,6807;;
2018-02-20;2,6308;2,6476;2,6015;2,6363;;
2018-02-19;2,6017;2,6109;2,5327;2,5333;;
2018-02-16;2,5541;2,583;2,5223;2,5703;;
2018-02-15;2,5842;2,6003;2,5214;2,5929;;
2018-02-14;2,6082;2,6174;2,5422;2,6155;;
2018-02-13;2,5867;2,6333;2,5725;2,6052;;
2018-02-12;2,5888;2,5904;2,5289;2,5631;;
2018-02-09;2,6643;2,6726;2,5624;2,6089;;
2018-02-08;2,6975;2,7413;2,6862;2,6862;;
2018-02-07;2,7673;2,7813;2,6781;2,7023;;
2018-02-06;2,7648;2,7762;2,6874;2,7605;;
2018-02-05;2,854;2,8761;2,7298;2,7437;;
2018-02-02;2,9035;2,9299;2,8339;2,868;;
2018-02-01;2,9648;2,9725;2,8255;2,8887;;
2018-01-31;3,1185;3,1301;2,9588;2,9647;;
2018-01-30;3,213;3,2478;3,167;3,1874;;
2018-01-29;3,0987;3,1788;3,0366;3,1668;;
2018-01-26;3,1276;3,2031;3,1122;3,1747;;
2018-01-25;3,2954;3,5289;3,0892;3,1043;;
2018-01-24;3,538;3,5428;3,0875;3,2676;;
2018-01-23;3,192;3,258;3,0384;3,2398;;
2018-01-22;3,2453;3,2525;2,9569;3,0764;;
2018-01-19;3,1667;3,2046;2,9731;3,1911;;
2018-01-18;3,2458;3,2473;2,9615;3,2178;;
2018-01-17;3,1332;3,2687;3,0056;3,2549;;
2018-01-16;3,0449;3,1584;2,9279;3,1375;;
2018-01-15;3,1481;3,151;2,9233;2,9233;;
2018-01-12;3,124;3,2004;2,9545;3,1814;;
2018-01-11;2,9126;3,0874;2,8452;3,0775;;
2018-01-10;2,9771;2,9814;2,8157;2,8891;;
2018-01-09;2,8504;2,8988;2,7703;2,8975;;
2018-01-08;2,8429;2,862;2,742;2,8261;;
2018-01-05;2,8582;2,8585;2,7111;2,7856;;
2018-01-04;3,0582;3,0609;2,8002;2,8656;;
2018-01-03;3,0327;3,0523;2,907;2,9907;;
2018-01-02;3,0559;3,0606;2,9012;3,0376;;
2017-12-29;2,959;2,9725;2,9059;2,9393;;
2017-12-28;2,7739;2,9173;2,7582;2,8857;;
2017-12-27;2,6474;2,7408;2,5985;2,7167;;
2017-12-22;2,6159;2,6538;2,5554;2,6521;;
2017-12-21;2,632;2,6398;2,5457;2,5961;;
2017-12-20;2,7542;2,7542;2,5854;2,6348;;
2017-12-19;2,7561;2,7561;2,6739;2,6997;;
2017-12-18;2,6457;2,7574;2,6403;2,7357;;
2017-12-15;2,6769;2,7098;2,5714;2,5983;;
2017-12-14;2,6981;2,6981;2,6292;2,6754;;
2017-12-13;2,708;2,7271;2,6426;2,6886;;
2017-12-12;2,8075;2,8352;2,6663;2,6715;;
2017-12-11;2,8218;2,8433;2,7734;2,8057;;
2017-12-08;2,7473;2,8016;2,7386;2,797;;
2017-12-07;2,8692;2,8754;2,7471;2,7892;;
2017-12-06;2,9191;2,9464;2,863;2,9273;;
2017-12-05;2,9451;2,98;2,8552;2,9226;;
2017-12-04;3,147;3,1507;2,9324;2,9961;;
2017-12-01;3,0259;3,0957;3,0142;3,0845;;
2017-11-30;3,1488;3,1505;2,9924;3,0231;;
2017-11-29;3,1309;3,1814;3,1214;3,1596;;
2017-11-28;3,0792;3,1511;3,0148;3,1499;;
2017-11-27;2,987;3,0077;2,9325;2,9893;;
2017-11-24;2,9074;2,9856;2,8321;2,8785;;
2017-11-23;2,9462;3,0045;2,9138;2,9138;;
2017-11-22;3,0027;3,0504;2,9494;2,9734;;
2017-11-21;3,0039;3,0868;2,9906;3,0032;;
2017-11-20;3,0545;3,0689;3,0118;3,0279;;
2017-11-17;3,0673;3,1143;3,0481;3,0882;;
2017-11-16;3,0603;3,1125;3,0238;3,0239;;
2017-11-15;3,068;3,149;3,041;3,0715;;
2017-11-14;3,1073;3,1301;3,0534;3,0853;;
2017-11-13;3,1564;3,2119;3,1348;3,1753;;
2017-11-10;3,2156;3,2385;3,1606;3,1896;;
2017-11-09;3,1434;3,2132;3,1335;3,1998;;
2017-11-08;3,1277;3,1833;3,0979;3,1645;;
2017-11-07;3,1026;3,1599;3,0786;3,1512;;
2017-11-06;3,0359;3,1411;3,0272;3,1103;;
2017-11-03;2,9089;2,9875;2,9072;2,9646;;
2017-11-02;2,8939;2,9516;2,8831;2,9294;;
2017-11-01;2,8965;2,9152;2,8404;2,8917;;
2017-10-30;2,9511;2,993;2,9299;2,9511;;
2017-10-27;3,0515;3,0515;2,9262;2,9368;;
2017-10-26;3,0782;3,0871;3,0241;3,0433;;
2017-10-25;3,0654;3,1442;3,0525;3,0713;;
2017-10-24;3,0218;3,1371;2,9438;2,9538;;
2017-10-23;3,0932;3,1383;2,9652;2,9899;;
2017-10-20;2,8652;3,0219;2,8372;2,8907;;
2017-10-19;2,8707;3,0145;2,8221;2,8221;;
2017-10-18;2,9114;3,0294;2,8375;2,8509;;
2017-10-17;2,9552;3,1093;2,9446;2,9523;;
2017-10-16;2,9553;3,0693;2,9209;2,9508;;
2017-10-13;2,9803;3,1325;2,9693;3,0068;;
2017-10-12;2,8892;3,0785;2,8851;2,9803;;
2017-10-11;2,8992;3,0627;2,8678;2,8827;;
2017-10-10;2,8265;3,0028;2,8237;2,8527;;
2017-10-09;2,8581;3,0148;2,8076;2,8308;;
2017-10-06;2,9056;3,0318;2,8394;2,8501;;
2017-10-05;2,9368;3,0743;2,9049;2,9219;;
